clean_text,label
both i shoot big loads so get ready,0
what s up bruv hope you had a great break do have a rewarding semester,0
home so we can always chat,0
k k good study well,0
yup how noe leh,0
sounds great are you home now,0
finally the match heading towards draw as your prediction,0
tired i haven t slept well the past few nights,0
easy ah sen got selected means its good,0
i have to take exam with march NUMBER,0
yeah you should i think you can use your gt atm now to register not sure but if there s anyway i can help let me know but when you do be sure you are ready,0
ok no prob take ur time,0
there is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop,0
sorry i ll call later,0
u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh,0
NUMBER new mobiles from NUMBER must go txt nokia to no NUMBER collect yours today from only NUMBER URL NUMBER optout NUMBER NUMBER gbp mtmsg NUMBER,1
would really appreciate if you call me just need someone to talk to,0
will u meet ur dream partner soon is ur career off NUMBER a flyng start NUMBER find out free txt horo followed by ur star sign e g horo aries,1
hey company elama po mudyadhu,0
life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning,0
dear good morning now only i am up,0
get down in gandhipuram and walk to cross cut road right side lt gt street road and turn at first right,0
dear we are going to our rubber place,0
sorry battery died yeah i m here,0
yes here tv is always available in work place,0
text meet someone sexy today u can find a date or even flirt its up to u join NUMBER just NUMBER p reply with name age eg sam NUMBER NUMBER msg recd thirtyeight pence,1
i have printed it oh so lt gt come upstairs,0
or ill be a little closer like at the bus stop on the same street,0
where are you when wil you reach here,0
new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say i m always correct,0
u NUMBER have a secret admirer who is looking NUMBER make contact with u find out who they r reveal who thinks ur so special call on NUMBER,1
tomarrow final hearing on my laptop case so i cant,0
pleassssssseeeeee tel me v avent done sportsx,0
okay no no just shining on that was meant to be signing but that sounds better,0
although i told u dat i m into baig face watches now but i really like e watch u gave cos it s fr u thanx NUMBER everything dat u ve done today i m touched,0
u don t remember that old commercial,0
too late i said i have the website i didn t i have or dont have the slippers,0
i asked you to call him now ok,0
kallis wont bat in NUMBER nd innings,0
it didnt work again oh ok goodnight then i ll fix and have it ready by the time you wake up you are very dearly missed have a good night sleep,0
congratulations ur awarded NUMBER of cd vouchers or NUMBER gift guaranteed free entry NUMBER NUMBER wkly draw txt music to NUMBER tncs URL,1
ranjith cal drpd deeraj and deepak NUMBER min hold,0
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,0
what you doing how are you,0
ups which is NUMBER days also and the shipping company that takes NUMBER wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff,0
i m back lemme know when you re ready,0
don t necessarily expect it to be done before you get back though because i m just now headin out,0
mmm so yummy babe nice jolt to the suzy,0
where are you lover i need you,0
we tried to contact you re your reply to our offer of a video handset NUMBER anytime networks mins unlimited text camcorder reply or call NUMBER now,1
i m parked next to a mini when are you coming in today do you think,0
yup,0
anyway i m going shopping on my own now cos my sis not done yet dun disturb u liao,0
my no in luton NUMBER ring me if ur around h,0
hey i am really horny want to chat or see me naked text hot to NUMBER text charged at NUMBER pm to unsubscribe text stop NUMBER,1
why you dint come with us,0
same wana plan a trip sometme then,0
not sure yet still trying to get a hold of him,0
ur ringtone service has changed NUMBER free credits go to club NUMBER mobiles com to choose content now stop txt club stop to NUMBER NUMBER p wk club NUMBER po box NUMBER mk NUMBER NUMBER wt,1
the evo i just had to download flash jealous,0
ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,1
come to mu we re sorting out our narcotics situation,0
night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay,0
hmv bonus special NUMBER pounds of genuine hmv vouchers to be won just answer NUMBER easy questions play now send hmv to NUMBER more info URL,1
usf i guess might as well take NUMBER car,0
no objection my bf not coming,0
thanx,0
tell rob to mack his gf in the theater,0
awesome i ll see you in a bit,0
just sent it so what type of food do you like,0
all done all handed in celebrations in full swing yet,0
you got called a tool,0
wen u miss someone the person is definitely special for u but if the person is so special why to miss them just keep in touch gdeve,0
ok i asked for money how far,0
okie,0
yeah i think my usual guy s still passed out from last night if you get ahold of anybody let me know and i ll throw down,0
k i might come by tonight then if my class lets out early,0
ok,0
hi baby im cruisin with my girl friend what r u up NUMBER give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0
my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge,0
dear shall mail tonite busy in the street shall update you tonite things are looking ok varunnathu edukkukayee raksha ollu but a good one in real sense,0
hey you told your name to gautham ah,0
haf u found him i feel so stupid da v cam was working,0
oops NUMBER got that bit,0
are you this much buzy,0
i accidentally deleted the message resend please,0
t mobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on NUMBER NUMBER NUMBER offer ends NUMBER thfeb t c s apply,1
unless it s a situation where you go gurl would be more appropriate,0
hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,0
i cant pick the phone right now pls send a message,0
need a coffee run tomo can t believe it s that time of week already,0
awesome i remember the last time we got somebody high for the first time with diesel v,0
shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi,0
oh and by the way you do have more food in your fridge want to go out for a meal tonight,0
he is a womdarfull actor,0
sms ac blind date NUMBER u rodds NUMBER is NUMBER m from aberdeen united kingdom check him out URL sms ac w icmb NUMBER cktz NUMBER r NUMBER NUMBER no blind dates send hide,1
yup from what i remb i think should be can book,0
jos ask if u wana meet up,0
lol yes our friendship is hanging on a thread cause u won t buy stuff,0
themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to NUMBER,1
where are the garage keys they aren t on the bookshelf,0
today is accept day u accept me as brother sister lover dear NUMBER best NUMBER clos NUMBER lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,0
think ur smart win NUMBER this week in our weekly quiz text play to NUMBER now t cs winnersclub po box NUMBER m NUMBER NUMBER uz NUMBER gbp NUMBER NUMBER week,1
he says he ll give me a call when his friend s got the money but that he s definitely buying before the end of the week,0
hi the way i was with u NUMBER day is the normal way this is the real me ur unique i hope i know u NUMBER the rest of mylife hope u find wot was lost,0
you made my day do have a great day too,0
k k advance happy pongal,0
hmmm guess we can go NUMBER kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,0
not really dude have no friends i m afraid,0
december only had your mobile NUMBER mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on NUMBER,1
coffee cake i guess,0
merry christmas to you too babe i love ya kisses,0
hey why dont we just go watch x men and have lunch haha,0
cud u tell ppl im gona b a bit l NUMBER cos NUMBER buses hav gon past cos they were full im still waitin NUMBER NUMBER pete x,0
that would be great we ll be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week,0
no problem how are you doing,0
no calls messages missed calls,0
hi da how is the todays class,0
i d say that s a good sign but well you know my track record at reading women,0
cool text me when you re parked,0
i m reading the text i just sent you its meant to be a joke so read it in that light,0
k k apo k good movie,0
maybe i could get book out tomo then return it immediately or something,0
call germany for only NUMBER pence per minute call from a fixed line via access number NUMBER NUMBER NUMBER NUMBER no prepayment direct access,1
any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork not cool at all please do not contact me again or i will report you to your supervisor,0
valentines day special win over NUMBER in our quiz and take your partner on the trip of a lifetime send go to NUMBER now NUMBER p msg rcvd custcare NUMBER,1
ta daaaaa i am home babe are you still up,0
cool so how come you havent been wined and dined before,0
just sleeping and surfing,0
sorry i ll call later,0
u calling me right call my hand phone,0
ok that s great thanx a lot,0
i take it the post has come then you must have NUMBER s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him,0
where u been hiding stranger,0
am not interested to do like that,0
my sister cleared two round in birla soft yesterday,0
gudnite tc practice going on,0
dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num,0
one small prestige problem now,0
fancy a shag i do interested sextextuk com txt xxuk suzy to NUMBER txts cost NUMBER NUMBER per msg tncs on website x,1
just checking in on you really do miss seeing jeremiah do have a great month,0
nah can t help you there i ve never had an iphone,0
if you re not in my car in an hour and a half i m going apeshit,0
today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault i m basically good,0
yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed,0
lt gt ish minutes was NUMBER minutes ago wtf,0
thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh ex tata aig who joined tissco tayseer,0
congratulations ur awarded NUMBER of cd vouchers or NUMBER gift guaranteed free entry NUMBER NUMBER wkly draw txt music to NUMBER tncs URL,1
ur cash balance is currently NUMBER pounds to maximize ur cash in now send cash to NUMBER only NUMBER p msg cc NUMBER hg suite NUMBER NUMBER lands row w NUMBER j NUMBER hl,1
i m an actor when i work i work in the evening and sleep late since i m unemployed at the moment i always sleep late when you re unemployed every day is saturday,0
hello just got here st andrews boy its a long way its cold i will keep you posted,0
ha ha cool cool chikku chikku db,0
oh ok no prob,0
check audrey s status right now,0
busy here trying to finish for new year i am looking forward to finally meeting you,0
good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always,0
well i know z will take care of me so no worries,0
update now xmas offer latest motorola sonyericsson nokia free bluetooth double mins NUMBER txt on orange call mobileupd NUMBER on NUMBER or call NUMBER optout f NUMBER q,1
here is your discount code rp NUMBER to stop further messages reply stop URL customer services NUMBER,1
wat uniform in where get,0
cool text me when you re ready,0
hello my boytoy geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you,0
i will spoil you in bed as well,0
i m going for bath will msg you next lt gt min,0
i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay,0
thanks for your ringtone order reference t NUMBER you will be charged gbp NUMBER per week you can unsubscribe at anytime by calling customer services on NUMBER,1
can you say what happen,0
you could have seen me i did t recognise you face,0
well there s not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,0
keep my payasam there if rinu brings,0
i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me,0
i guess that s why you re worried you must know that there s a way the body repairs itself and i m quite sure you shouldn t worry we ll take it slow first the tests they will guide when your ovulation is then just relax nothing you ve said is a reason to worry but i ll keep on followin you up,0
yeah sure give me a couple minutes to track down my wallet,0
hey leave it not a big deal take care,0
hey i will be late ah meet you at NUMBER,0
double mins and txts NUMBER NUMBER months free bluetooth on orange available on sony nokia motorola phones call mobileupd NUMBER on NUMBER or call NUMBER optout n NUMBER dx,1
it took mr owl NUMBER licks,0
customer place i will call you,0
mm that time you dont like fun,0
NUMBER mths half price orange line rental latest camera phones NUMBER free had your phone NUMBER mths call mobilesdirect free on NUMBER to update now or NUMBER stoptxt,1
yup having my lunch buffet now u eat already,0
huh so late fr dinner,0
hey so this sat are we going for the intro pilates only or the kickboxing too,0
morning only i can ok,0
yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,0
pick you up bout NUMBER NUMBER ish what time are and that going,0
from here after the performance award is calculated every two month not for current one month period,0
was actually sleeping and still might when u call back so a text is gr NUMBER you rock sis will send u a text wen i wake,0
you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people i ve ever met why would i think a picture of your room would hurt you make you feel violated,0
good evening sir al salam wahleykkum sharing a happy news by the grace of god i got an offer from tayseer tissco and i joined hope you are fine inshah allah meet you sometime rakhesh visitor from india,0
hmmm k but i want to change the field quickly da i wanna get system administrator or network administrator,0
free ringtone text first to NUMBER for a poly or text get to NUMBER for a true tone help NUMBER NUMBER NUMBER after NUMBER st free tones are NUMBER x NUMBER pw to e nd txt stop,1
dear how is chechi did you talk to her,0
the hair cream has not been shipped,0
none of that s happening til you get here though,0
yep the great loxahatchee xmas tree burning of lt gt starts in an hour,0
haha get used to driving to usf man i know a lot of stoners,0
all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as can t stay late tomorrow same time place as always,0
hello good week fancy a drink or something later,0
headin towards busetop,0
message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com,0
come by our room at some point so we can iron out the plan for this weekend,0
cos i want it to be your thing,0
okies i ll go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah,0
bring home some wendy d,0
NUMBER dating service cal l NUMBER box NUMBER sk NUMBER ch,1
whatsup there dont u want to sleep,0
alright i have a new goal now,0
free entry into our NUMBER weekly competition just text the word win to NUMBER now NUMBER t c URL,1
alright i ll head out in a few minutes text me where to meet you,0
send a logo NUMBER ur lover NUMBER names joined by a heart txt love name NUMBER name NUMBER mobno eg love adam eve NUMBER to NUMBER yahoo pobox NUMBER w NUMBER wq txtno NUMBER no ads NUMBER p,1
yes from last week itself i m taking live call,0
someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline NUMBER pobox NUMBER n NUMBER tf NUMBER p,1
siva is in hostel aha,0
urgent your mobile number has been awarded with a NUMBER prize guaranteed call NUMBER from land line claim NUMBER valid NUMBER hrs only,1
send this to ur friends and receive something about ur voice how is my speaking expression NUMBER childish NUMBER naughty NUMBER sentiment NUMBER rowdy NUMBER ful of attitude NUMBER romantic NUMBER shy NUMBER attractive NUMBER funny lt gt irritating lt gt lovable reply me,0
ok she ll be ok i guess,0
aathi where are you dear,0
any pain on urination any thing else,0
NUMBER at esplanade do mind giving me a lift cos i got no car today,0
i wnt to buy a bmw car urgently its vry urgent but hv a shortage of lt gt lacs there is no source to arng dis amt lt gt lacs thats my prob,0
at home watching tv lor,0
does she usually take fifteen fucking minutes to respond to a yes or no question,0
congrats nokia NUMBER video camera phone is your call NUMBER calls cost NUMBER ppm ave call NUMBER mins vary from mobiles NUMBER close NUMBER post bcm NUMBER ldn wc NUMBER n NUMBER xx,1
booked ticket for pongal,0
you available now i m like right around hillsborough amp lt gt th,0
the message sent is askin for lt gt dollars shoul i pay lt gt or lt gt,0
ask g or iouri i ve told the story like ten times already,0
how long does applebees fucking take,0
hi hope u get this txt journey hasnt been gd now about NUMBER mins late i think,0
but i have to i like to have love and arrange,0
